Overgrow; Chlorophyll,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,Seed Pokemon,49,0.7,45,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0,45
Overgrow; Chlorophyll,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,Seed Pokemon,63,1,60,Ivysaur,88.1,2,80,80,60,grass,poison,13,1,0,45
Overgrow; Chlorophyll,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,Seed Pokemon,123,2,80,Venusaur,88.1,3,122,120,80,grass,poison,100,1,0,45
Blaze; Solar Power,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,Lizard Pokemon,43,0.6,39,Charmander,88.1,4,60,50,65,fire,,8.5,1,0,45
Blaze; Solar Power,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,Flame Pokemon,58,1.1,58,Charmeleon,88.1,5,80,65,80,fire,,19,1,0,45
Blaze; Solar Power,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,Flame Pokemon,78,1.7,78,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0,45
Torrent; Rain Dish,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,Tiny Turtle Pokemon,65,0.5,44,Squirtle,88.1,7,50,64,43,water,,9,1,0,45
Torrent; Rain Dish,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,Turtle Pokemon,80,1,59,Wartortle,88.1,8,65,80,58,water,,22.5,1,0,45
Torrent; Rain Dish,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,Shellfish Pokemon,120,1.6,79,Blastoise,88.1,9,135,115,78,water,,85.5,1,0,45
Shield Dust; Run Away,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,Worm Pokemon,35,0.3,45,Caterpie,50,10,20,20,45,bug,,2.9,1,0,255
Shed Skin,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,Cocoon Pokemon,55,0.7,50,Metapod,50,11,25,25,30,bug,,9.9,1,0,120
Compoundeyes; Tinted Lens,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,Butterfly Pokemon,50,1.1,60,Butterfree,50,12,90,80,70,bug,flying,32,1,0,45
Shield Dust; Run Away,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,Hairy Pokemon,30,0.3,40,Weedle,50,13,20,20,50,bug,poison,3.2,1,0,255
Shed Skin,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,Cocoon Pokemon,50,0.6,45,Kakuna,50,14,25,25,35,bug,poison,10,1,0,120
Swarm; Sniper,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,Poison Bee Pokemon,40,1,65,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0,45
Keen Eye; Tangled Feet; Big Pecks,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,Tiny Bird Pokemon,40,0.3,40,Pidgey,50,16,35,35,56,normal,flying,1.8,1,0,255
Keen Eye; Tangled Feet; Big Pecks,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,Bird Pokemon,55,1.1,63,Pidgeotto,50,17,50,50,71,normal,flying,30,1,0,120
Keen Eye; Tangled Feet; Big Pecks,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,Bird Pokemon,80,1.5,83,Pidgeot,50,18,135,80,121,normal,flying,39.5,1,0,45
Run Away; Guts; Hustle; Gluttony; Hustle; Thick Fat,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,Mouse Pokemon,35,0,30,Rattata,50,19,25,35,72,normal,dark,0,1,0,255
Run Away; Guts; Hustle; Gluttony; Hustle; Thick Fat,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,Mouse Pokemon,70,0,75,Raticate,50,20,40,80,77,normal,dark,0,1,0,127
Keen Eye; Sniper,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,Tiny Bird Pokemon,30,0.3,40,Spearow,50,21,31,31,70,normal,flying,2,1,0,255
Keen Eye; Sniper,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,Beak Pokemon,65,1.2,65,Fearow,50,22,61,61,100,normal,flying,38,1,0,90
Intimidate; Shed Skin; Unnerve,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,Snake Pokemon,44,2,35,Ekans,50,23,40,54,55,poison,,6.9,1,0,255
Intimidate; Shed Skin; Unnerve,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,Cobra Pokemon,69,3.5,60,Arbok,50,24,65,79,80,poison,,65,1,0,90
Static; Lightningrod,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,Mouse Pokemon,40,0.4,35,Pikachu,50,25,50,50,90,electric,,6,1,0,190
Static; Lightningrod; Surge Surfer,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,Mouse Pokemon,50,0,60,Raichu,50,26,95,85,110,electric,electric,0,1,0,75
Sand Veil; Sand Rush; Snow Cloak; Slush Rush,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,Mouse Pokemon,90,0,50,Sandshrew,50,27,10,35,40,ground,ice,0,1,0,255
Sand Veil; Sand Rush; Snow Cloak; Slush Rush,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,Mouse Pokemon,120,0,75,Sandslash,50,28,25,65,65,ground,ice,0,1,0,90
Poison Point; Rivalry; Hustle,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,Poison Pin Pokemon,52,0.4,55,Nidoran♀,0,29,40,40,41,poison,,7,1,0,235
Poison Point; Rivalry; Hustle,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,Poison Pin Pokemon,67,0.8,70,Nidorina,0,30,55,55,56,poison,,20,1,0,120
